date,region,product,units,revenue_kdkk
2026-01-15,West,Widgets,21,25.6
2026-01-15,West,Gadgets,11,38.6
2026-01-15,Central,Widgets,37,43.3
2026-01-15,Central,Gadgets,21,75.2
2026-01-16,North,Widgets,50,61.2
2026-01-16,North,Gadgets,20,70.3
2026-01-16,South,Widgets,31,36.8
2026-01-16,South,Gadgets,18,64.5
2026-01-16,East,Widgets,61,75.0
2026-01-16,East,Gadgets,20,68.8
2026-01-16,West,Widgets,23,28.1
2026-01-16,West,Gadgets,14,50.1
2026-01-16,Central,Widgets,30,35.3
2026-01-16,Central,Gadgets,24,86.2
2026-01-17,North,Widgets,28,34.2
2026-01-17,North,Gadgets,7,25.1
2026-01-17,South,Widgets,19,22.6
2026-01-17,South,Gadgets,9,32.3
2026-01-17,East,Widgets,31,37.9
2026-01-17,East,Gadgets,10,34.5
2026-01-17,West,Widgets,12,14.7
2026-01-17,West,Gadgets,6,21.5
2026-01-17,Central,Widgets,20,23.9
2026-01-17,Central,Gadgets,14,48.4
2026-01-18,North,Widgets,22,25.6
2026-01-18,North,Gadgets,10,34.4
2026-01-18,South,Widgets,12,14.8
2026-01-18,South,Gadgets,11,38.0
2026-01-18,East,Widgets,25,30.9
2026-01-18,East,Gadgets,13,45.6
2026-01-18,West,Widgets,13,16.0
2026-01-18,West,Gadgets,6,20.6
2026-01-18,Central,Widgets,22,25.8
2026-01-18,Central,Gadgets,10,34.9
2026-01-19,North,Widgets,42,50.7
2026-01-19,North,Gadgets,20,70.0
2026-01-19,South,Widgets,25,29.6
2026-01-19,South,Gadgets,19,67.3
2026-01-19,East,Widgets,79,95.0
2026-01-19,East,Gadgets,31,109.9
2026-01-19,West,Widgets,23,27.4
2026-01-19,West,Gadgets,9,30.7
2026-01-19,Central,Widgets,35,41.5
2026-01-19,Central,Gadgets,18,64.3
2026-01-20,North,Widgets,42,49.8
2026-01-20,North,Gadgets,20,69.6
2026-01-20,South,Widgets,26,30.5
2026-01-20,South,Gadgets,18,62.7
2026-01-20,East,Widgets,70,86.0
2026-01-20,East,Gadgets,28,98.7
2026-01-20,West,Widgets,22,25.6
2026-01-20,West,Gadgets,16,55.3
2026-01-20,Central,Widgets,30,36.3
2026-01-20,Central,Gadgets,23,80.3
2026-01-21,North,Widgets,38,45.5
2026-01-21,North,Gadgets,25,89.6
2026-01-21,South,Widgets,31,36.3
2026-01-21,South,Gadgets,15,52.5
2026-01-21,East,Widgets,50,61.1
2026-01-21,East,Gadgets,27,95.9
2026-01-21,West,Widgets,22,25.9
2026-01-21,West,Gadgets,12,40.8
2026-01-21,Central,Widgets,39,47.8
2026-01-21,Central,Gadgets,26,88.7
2026-01-22,North,Widgets,34,40.1
2026-01-22,North,Gadgets,27,95.6
2026-01-22,South,Widgets,26,31.5
2026-01-22,South,Gadgets,17,57.7
2026-01-22,East,Widgets,56,65.6
2026-01-22,East,Gadgets,21,73.2
2026-01-22,West,Widgets,29,34.8
2026-01-22,West,Gadgets,18,61.3
2026-01-22,Central,Widgets,39,46.7
2026-01-22,Central,Gadgets,29,103.3
2026-01-23,North,Widgets,32,38.6
2026-01-23,North,Gadgets,13,46.7
2026-01-23,South,Widgets,36,43.8
2026-01-23,South,Gadgets,14,49.0
2026-01-23,East,Widgets,63,77.4
2026-01-23,East,Gadgets,25,88.8
2026-01-23,West,Widgets,21,24.8
2026-01-23,West,Gadgets,13,45.9
2026-01-23,Central,Widgets,40,48.4
2026-01-23,Central,Gadgets,17,58.7
2026-01-24,North,Widgets,25,29.6
2026-01-24,North,Gadgets,13,45.0
2026-01-24,South,Widgets,14,16.5
2026-01-24,South,Gadgets,8,28.3
2026-01-24,East,Widgets,28,33.4
2026-01-24,East,Gadgets,15,52.6
2026-01-24,West,Widgets,11,13.1
2026-01-24,West,Gadgets,7,25.1
2026-01-24,Central,Widgets,15,18.4
2026-01-24,Central,Gadgets,9,32.0
2026-01-25,North,Widgets,22,26.2
2026-01-25,North,Gadgets,12,42.6
2026-01-25,South,Widgets,19,22.7
2026-01-25,South,Gadgets,5,17.8
2026-01-25,East,Widgets,22,26.0
2026-01-25,East,Gadgets,15,51.6
2026-01-25,West,Widgets,12,14.3
2026-01-25,West,Gadgets,7,24.8
2026-01-25,Central,Widgets,18,21.6
2026-01-25,Central,Gadgets,12,41.1
2026-01-26,North,Widgets,43,51.3
2026-01-26,North,Gadgets,23,80.8
2026-01-26,South,Widgets,39,45.8
2026-01-26,South,Gadgets,18,62.9
2026-01-26,East,Widgets,67,79.0
2026-01-26,East,Gadgets,33,114.3
2026-01-26,West,Widgets,24,29.2
2026-01-26,West,Gadgets,11,39.3
2026-01-26,Central,Widgets,40,46.6
2026-01-26,Central,Gadgets,23,80.7
2026-01-27,North,Widgets,52,63.0
2026-01-27,North,Gadgets,24,85.4
2026-01-27,South,Widgets,26,32.0
2026-01-27,South,Gadgets,13,44.7
2026-01-27,East,Widgets,63,73.9
2026-01-27,East,Gadgets,32,113.1
2026-01-27,West,Widgets,21,25.5
2026-01-27,West,Gadgets,13,46.2
2026-01-27,Central,Widgets,45,54.8
2026-01-27,Central,Gadgets,27,92.3
2026-01-28,North,Widgets,53,62.1
2026-01-28,North,Gadgets,14,47.6
2026-01-28,South,Widgets,28,34.5
2026-01-28,South,Gadgets,21,73.0
2026-01-28,East,Widgets,57,69.2
2026-01-28,East,Gadgets,29,102.3
2026-01-28,West,Widgets,30,36.8
2026-01-28,West,Gadgets,16,56.3
2026-01-28,Central,Widgets,55,67.1
2026-01-28,Central,Gadgets,30,104.0
2026-01-29,North,Widgets,38,45.6
2026-01-29,North,Gadgets,26,90.1
2026-01-29,South,Widgets,37,43.3
2026-01-29,South,Gadgets,12,43.2
2026-01-29,East,Widgets,45,54.7
2026-01-29,East,Gadgets,24,83.7
2026-01-29,West,Widgets,23,27.2
2026-01-29,West,Gadgets,7,25.0
2026-01-29,Central,Widgets,32,38.3
2026-01-29,Central,Gadgets,21,74.5
2026-01-30,North,Widgets,43,52.6
2026-01-30,North,Gadgets,33,112.6
2026-01-30,South,Widgets,34,40.7
2026-01-30,South,Gadgets,16,56.4
2026-01-30,East,Widgets,56,68.6
2026-01-30,East,Gadgets,33,113.3
2026-01-30,West,Widgets,26,30.9
2026-01-30,West,Gadgets,18,64.4
2026-01-30,Central,Widgets,38,44.3
2026-01-30,Central,Gadgets,19,68.3
2026-01-31,North,Widgets,28,33.6
2026-01-31,North,Gadgets,14,49.8
2026-01-31,South,Widgets,14,16.8
2026-01-31,South,Gadgets,7,24.9
2026-01-31,East,Widgets,32,38.8
2026-01-31,East,Gadgets,17,58.8
2026-01-31,West,Widgets,10,12.0
2026-01-31,West,Gadgets,6,20.9
2026-01-31,Central,Widgets,20,24.3
2026-01-31,Central,Gadgets,9,31.1
2026-02-01,North,Widgets,22,25.9
2026-02-01,North,Gadgets,13,44.5
2026-02-01,South,Widgets,11,13.0
2026-02-01,South,Gadgets,8,27.5
2026-02-01,East,Widgets,21,25.9
2026-02-01,East,Gadgets,17,59.6
2026-02-01,West,Widgets,12,14.1
2026-02-01,West,Gadgets,7,24.1
2026-02-01,Central,Widgets,20,24.0
2026-02-01,Central,Gadgets,11,38.0
2026-02-02,North,Widgets,55,66.8
2026-02-02,North,Gadgets,24,82.1
2026-02-02,South,Widgets,36,44.2
2026-02-02,South,Gadgets,15,52.7
2026-02-02,East,Widgets,47,55.3
2026-02-02,East,Gadgets,33,112.4
2026-02-02,West,Widgets,30,36.7
2026-02-02,West,Gadgets,13,45.2
2026-02-02,Central,Widgets,50,58.4
2026-02-02,Central,Gadgets,25,85.7
2026-02-03,North,Widgets,39,48.2
2026-02-03,North,Gadgets,23,78.7
2026-02-03,South,Widgets,32,39.1
2026-02-03,South,Gadgets,13,44.8
2026-02-03,East,Widgets,47,56.2
2026-02-03,East,Gadgets,31,110.8
2026-02-03,West,Widgets,29,35.1
2026-02-03,West,Gadgets,14,49.3
2026-02-03,Central,Widgets,40,47.2
2026-02-03,Central,Gadgets,13,44.7
2026-02-04,North,Widgets,43,50.6
2026-02-04,North,Gadgets,23,78.4
2026-02-04,South,Widgets,38,45.9
2026-02-04,South,Gadgets,18,62.2
2026-02-04,East,Widgets,61,74.1
2026-02-04,East,Gadgets,42,146.6
2026-02-04,West,Widgets,21,25.6
2026-02-04,West,Gadgets,9,31.7
2026-02-04,Central,Widgets,32,38.2
2026-02-04,Central,Gadgets,14,49.1
2026-02-05,North,Widgets,35,42.8
2026-02-05,North,Gadgets,17,58.0
2026-02-05,South,Widgets,34,41.4
2026-02-05,South,Gadgets,20,70.3
2026-02-05,East,Widgets,58,70.4
2026-02-05,East,Gadgets,36,127.5
2026-02-05,West,Widgets,30,36.0
2026-02-05,West,Gadgets,13,44.4
2026-02-05,Central,Widgets,49,58.2
2026-02-05,Central,Gadgets,24,82.7
2026-02-06,North,Widgets,63,77.1
2026-02-06,North,Gadgets,31,109.0
2026-02-06,South,Widgets,54,65.5
2026-02-06,South,Gadgets,14,48.3
2026-02-06,East,Widgets,77,92.2
2026-02-06,East,Gadgets,35,123.6
2026-02-06,West,Widgets,28,33.8
2026-02-06,West,Gadgets,13,45.9
2026-02-06,Central,Widgets,38,45.2
2026-02-06,Central,Gadgets,23,79.7
2026-02-07,North,Widgets,19,22.6
2026-02-07,North,Gadgets,9,31.9
2026-02-07,South,Widgets,14,17.1
2026-02-07,South,Gadgets,13,45.6
2026-02-07,East,Widgets,25,29.7
2026-02-07,East,Gadgets,17,61.2
2026-02-07,West,Widgets,10,12.4
2026-02-07,West,Gadgets,8,28.3
2026-02-07,Central,Widgets,17,20.0
2026-02-07,Central,Gadgets,11,38.2
2026-02-08,North,Widgets,23,28.0
2026-02-08,North,Gadgets,9,30.9
2026-02-08,South,Widgets,10,12.0
2026-02-08,South,Gadgets,8,28.3
2026-02-08,East,Widgets,40,48.3
2026-02-08,East,Gadgets,22,75.8
2026-02-08,West,Widgets,14,16.9
2026-02-08,West,Gadgets,8,27.3
2026-02-08,Central,Widgets,29,34.7
2026-02-08,Central,Gadgets,11,37.6
2026-02-09,North,Widgets,51,62.0
2026-02-09,North,Gadgets,21,73.5
2026-02-09,South,Widgets,31,38.3
2026-02-09,South,Gadgets,24,82.7
2026-02-09,East,Widgets,50,61.5
2026-02-09,East,Gadgets,31,108.6
2026-02-09,West,Widgets,32,37.9
2026-02-09,West,Gadgets,11,39.2
2026-02-09,Central,Widgets,27,32.4
2026-02-09,Central,Gadgets,28,99.9
2026-02-10,North,Widgets,45,54.3
2026-02-10,North,Gadgets,29,104.5
2026-02-10,South,Widgets,29,34.9
2026-02-10,South,Gadgets,18,62.4
2026-02-10,East,Widgets,47,56.2
2026-02-10,East,Gadgets,31,107.3
2026-02-10,West,Widgets,28,33.7
2026-02-10,West,Gadgets,18,62.0
2026-02-10,Central,Widgets,42,51.1
2026-02-10,Central,Gadgets,22,77.9
2026-02-11,North,Widgets,50,60.6
2026-02-11,North,Gadgets,21,74.9
2026-02-11,South,Widgets,39,45.5
2026-02-11,South,Gadgets,17,59.5
2026-02-11,East,Widgets,42,51.5
2026-02-11,East,Gadgets,27,94.2
2026-02-11,West,Widgets,21,25.5
2026-02-11,West,Gadgets,14,48.7
2026-02-11,Central,Widgets,39,46.7
2026-02-11,Central,Gadgets,21,75.6
2026-02-12,North,Widgets,40,48.4
2026-02-12,North,Gadgets,32,114.4
2026-02-12,South,Widgets,40,47.7
2026-02-12,South,Gadgets,13,45.0
2026-02-12,East,Widgets,57,69.9
2026-02-12,East,Gadgets,23,78.3
2026-02-12,West,Widgets,32,39.4
2026-02-12,West,Gadgets,16,57.7
2026-02-12,Central,Widgets,42,49.2
2026-02-12,Central,Gadgets,19,67.0
2026-02-13,North,Widgets,53,64.3
2026-02-13,North,Gadgets,22,78.9
2026-02-13,South,Widgets,43,51.0
2026-02-13,South,Gadgets,20,69.5
2026-02-13,East,Widgets,69,83.1
2026-02-13,East,Gadgets,39,138.9
2026-02-13,West,Widgets,27,33.1
2026-02-13,West,Gadgets,15,52.9
2026-02-13,Central,Widgets,43,50.5
2026-02-13,Central,Gadgets,32,111.7
2026-02-14,North,Widgets,23,26.8
2026-02-14,North,Gadgets,15,53.5
2026-02-14,South,Widgets,20,23.5
2026-02-14,South,Gadgets,8,27.9
2026-02-14,East,Widgets,26,31.5
2026-02-14,East,Gadgets,20,69.7
2026-02-14,West,Widgets,13,15.3
2026-02-14,West,Gadgets,10,34.8
2026-02-14,Central,Widgets,18,21.7
2026-02-14,Central,Gadgets,12,42.2
2026-02-15,North,Widgets,27,33.3
2026-02-15,North,Gadgets,13,45.9
2026-02-15,South,Widgets,16,19.4
2026-02-15,South,Gadgets,11,39.1
2026-02-15,East,Widgets,38,45.6
2026-02-15,East,Gadgets,18,64.5
2026-02-15,West,Widgets,12,14.5
2026-02-15,West,Gadgets,9,31.2
2026-02-15,Central,Widgets,18,21.8
2026-02-15,Central,Gadgets,9,31.9
2026-02-16,North,Widgets,39,47.2
2026-02-16,North,Gadgets,19,68.1
2026-02-16,South,Widgets,30,35.9
2026-02-16,South,Gadgets,16,56.3
2026-02-16,East,Widgets,61,72.3
2026-02-16,East,Gadgets,31,110.1
2026-02-16,West,Widgets,27,32.5
2026-02-16,West,Gadgets,16,57.6
2026-02-16,Central,Widgets,26,31.8
2026-02-16,Central,Gadgets,22,75.9
2026-02-17,North,Widgets,52,63.5
2026-02-17,North,Gadgets,21,74.6
2026-02-17,South,Widgets,32,39.5
2026-02-17,South,Gadgets,20,68.5
2026-02-17,East,Widgets,83,100.9
2026-02-17,East,Gadgets,31,111.6
2026-02-17,West,Widgets,34,40.5
2026-02-17,West,Gadgets,13,46.3
2026-02-17,Central,Widgets,52,62.2
2026-02-17,Central,Gadgets,24,84.9
2026-02-18,North,Widgets,42,51.4
2026-02-18,North,Gadgets,21,75.4
2026-02-18,South,Widgets,37,43.1
2026-02-18,South,Gadgets,20,71.6
2026-02-18,East,Widgets,39,46.0
2026-02-18,East,Gadgets,29,98.8
2026-02-18,West,Widgets,31,36.8
2026-02-18,West,Gadgets,9,31.3
2026-02-18,Central,Widgets,55,65.2
2026-02-18,Central,Gadgets,32,112.0
2026-02-19,North,Widgets,63,73.9
2026-02-19,North,Gadgets,32,111.7
2026-02-19,South,Widgets,29,35.7
2026-02-19,South,Gadgets,14,48.8
2026-02-19,East,Widgets,62,74.0
2026-02-19,East,Gadgets,31,105.9
2026-02-19,West,Widgets,21,25.9
2026-02-19,West,Gadgets,15,51.0
2026-02-19,Central,Widgets,37,45.6
2026-02-19,Central,Gadgets,27,96.5
2026-02-20,North,Widgets,59,71.0
2026-02-20,North,Gadgets,31,111.6
2026-02-20,South,Widgets,30,35.3
2026-02-20,South,Gadgets,21,71.8
2026-02-20,East,Widgets,70,84.8
2026-02-20,East,Gadgets,29,102.4
2026-02-20,West,Widgets,26,31.7
2026-02-20,West,Gadgets,14,48.2
2026-02-20,Central,Widgets,50,58.4
2026-02-20,Central,Gadgets,28,99.6
2026-02-21,North,Widgets,25,30.7
2026-02-21,North,Gadgets,15,52.0
2026-02-21,South,Widgets,21,24.4
2026-02-21,South,Gadgets,12,42.9
2026-02-21,East,Widgets,33,39.0
2026-02-21,East,Gadgets,19,65.2
2026-02-21,West,Widgets,13,15.1
2026-02-21,West,Gadgets,7,24.9
2026-02-21,Central,Widgets,22,25.9
2026-02-21,Central,Gadgets,14,47.7
2026-02-22,North,Widgets,24,29.2
2026-02-22,North,Gadgets,10,35.0
2026-02-22,South,Widgets,18,21.1
2026-02-22,South,Gadgets,7,24.5
2026-02-22,East,Widgets,33,40.3
2026-02-22,East,Gadgets,17,60.8
2026-02-22,West,Widgets,11,13.6
2026-02-22,West,Gadgets,7,23.9
2026-02-22,Central,Widgets,18,21.8
2026-02-22,Central,Gadgets,12,42.0
2026-02-23,North,Widgets,51,59.7
2026-02-23,North,Gadgets,26,91.6
2026-02-23,South,Widgets,38,46.0
2026-02-23,South,Gadgets,20,70.2
2026-02-23,East,Widgets,46,55.3
2026-02-23,East,Gadgets,53,185.0
2026-02-23,West,Widgets,25,30.4
2026-02-23,West,Gadgets,14,50.0
2026-02-23,Central,Widgets,36,43.8
2026-02-23,Central,Gadgets,18,61.9
2026-02-24,North,Widgets,43,51.1
2026-02-24,North,Gadgets,28,97.7
2026-02-24,South,Widgets,32,38.2
2026-02-24,South,Gadgets,19,67.2
2026-02-24,East,Widgets,59,72.6
2026-02-24,East,Gadgets,37,126.1
2026-02-24,West,Widgets,28,32.8
2026-02-24,West,Gadgets,14,49.7
2026-02-24,Central,Widgets,48,57.9
2026-02-24,Central,Gadgets,19,66.7
2026-02-25,North,Widgets,47,55.9
2026-02-25,North,Gadgets,29,102.5
2026-02-25,South,Widgets,34,41.3
2026-02-25,South,Gadgets,12,43.2
2026-02-25,East,Widgets,55,66.3
2026-02-25,East,Gadgets,31,106.6
2026-02-25,West,Widgets,25,29.3
2026-02-25,West,Gadgets,13,46.4
2026-02-25,Central,Widgets,35,42.2
2026-02-25,Central,Gadgets,30,106.9
2026-02-26,North,Widgets,62,75.8
2026-02-26,North,Gadgets,16,56.4
2026-02-26,South,Widgets,33,40.6
2026-02-26,South,Gadgets,18,64.2
2026-02-26,East,Widgets,63,76.5
2026-02-26,East,Gadgets,39,134.9
2026-02-26,West,Widgets,27,33.1
2026-02-26,West,Gadgets,15,52.7
2026-02-26,Central,Widgets,41,49.6
2026-02-26,Central,Gadgets,26,88.4
2026-02-27,North,Widgets,49,58.5
2026-02-27,North,Gadgets,24,83.2
2026-02-27,South,Widgets,28,34.2
2026-02-27,South,Gadgets,23,80.8
2026-02-27,East,Widgets,67,78.7
2026-02-27,East,Gadgets,36,126.9
2026-02-27,West,Widgets,25,30.3
2026-02-27,West,Gadgets,13,45.5
2026-02-27,Central,Widgets,38,46.3
2026-02-27,Central,Gadgets,26,88.9
2026-02-28,North,Widgets,21,25.5
2026-02-28,North,Gadgets,14,49.0
2026-02-28,South,Widgets,17,20.3
2026-02-28,South,Gadgets,9,31.7
2026-02-28,East,Widgets,37,43.6
2026-02-28,East,Gadgets,18,61.6
2026-02-28,West,Widgets,13,15.1
2026-02-28,West,Gadgets,9,32.0
2026-02-28,Central,Widgets,24,29.2
2026-02-28,Central,Gadgets,14,49.0
2026-03-01,North,Widgets,29,33.9
2026-03-01,North,Gadgets,10,35.8
2026-03-01,South,Widgets,18,22.1
2026-03-01,South,Gadgets,10,35.8
2026-03-01,East,Widgets,25,30.4
2026-03-01,East,Gadgets,16,55.7
2026-03-01,West,Widgets,14,16.6
2026-03-01,West,Gadgets,8,28.5
2026-03-01,Central,Widgets,17,20.9
2026-03-01,Central,Gadgets,9,30.7
2026-03-02,North,Widgets,53,63.9
2026-03-02,North,Gadgets,24,84.1
2026-03-02,South,Widgets,30,35.7
2026-03-02,South,Gadgets,21,72.8
2026-03-02,East,Widgets,71,83.2
2026-03-02,East,Gadgets,42,147.1
2026-03-02,West,Widgets,31,37.7
2026-03-02,West,Gadgets,14,49.9
2026-03-02,Central,Widgets,47,55.2
2026-03-02,Central,Gadgets,22,75.6
2026-03-03,North,Widgets,38,46.0
2026-03-03,North,Gadgets,22,75.5
2026-03-03,South,Widgets,36,43.9
2026-03-03,South,Gadgets,15,53.3
2026-03-03,East,Widgets,40,48.2
2026-03-03,East,Gadgets,40,141.1
2026-03-03,West,Widgets,20,24.2
2026-03-03,West,Gadgets,11,37.7
2026-03-03,Central,Widgets,53,62.8
2026-03-03,Central,Gadgets,27,93.2
2026-03-04,North,Widgets,60,71.2
2026-03-04,North,Gadgets,29,101.2
2026-03-04,South,Widgets,46,53.8
2026-03-04,South,Gadgets,22,78.7
2026-03-04,East,Widgets,75,90.0
2026-03-04,East,Gadgets,29,101.3
2026-03-04,West,Widgets,19,23.3
2026-03-04,West,Gadgets,13,45.4
2026-03-04,Central,Widgets,49,58.2
2026-03-04,Central,Gadgets,19,66.4
2026-03-05,North,Widgets,52,60.9
2026-03-05,North,Gadgets,29,103.9
2026-03-05,South,Widgets,30,36.0
2026-03-05,South,Gadgets,24,82.3
2026-03-05,East,Widgets,65,77.7
2026-03-05,East,Gadgets,43,150.7
2026-03-05,West,Widgets,30,35.5
2026-03-05,West,Gadgets,17,59.2
2026-03-05,Central,Widgets,39,47.6
2026-03-05,Central,Gadgets,30,105.9
2026-03-06,North,Widgets,54,65.5
2026-03-06,North,Gadgets,29,100.2
2026-03-06,South,Widgets,34,41.8
2026-03-06,South,Gadgets,14,50.1
2026-03-06,East,Widgets,58,68.1
2026-03-06,East,Gadgets,43,149.1
2026-03-06,West,Widgets,35,41.7
2026-03-06,West,Gadgets,14,49.3
2026-03-06,Central,Widgets,52,61.9
2026-03-06,Central,Gadgets,23,81.9
2026-03-07,North,Widgets,28,34.3
2026-03-07,North,Gadgets,10,35.5
2026-03-07,South,Widgets,16,19.4
2026-03-07,South,Gadgets,8,27.9
2026-03-07,East,Widgets,29,34.1
2026-03-07,East,Gadgets,20,68.8
2026-03-07,West,Widgets,17,20.1
2026-03-07,West,Gadgets,7,24.0
2026-03-07,Central,Widgets,30,35.1
2026-03-07,Central,Gadgets,14,49.8
2026-03-08,North,Widgets,30,35.0
2026-03-08,North,Gadgets,9,31.2
2026-03-08,South,Widgets,18,21.4
2026-03-08,South,Gadgets,9,30.9
2026-03-08,East,Widgets,38,46.4
2026-03-08,East,Gadgets,13,44.6
2026-03-08,West,Widgets,12,14.6
2026-03-08,West,Gadgets,8,27.6
2026-03-08,Central,Widgets,20,24.4
2026-03-08,Central,Gadgets,13,45.4
2026-03-09,North,Widgets,43,52.6
2026-03-09,North,Gadgets,27,94.3
2026-03-09,South,Widgets,39,48.1
2026-03-09,South,Gadgets,17,61.2
